Livro;Trecho;Tema;Reflexão;Pergunta;Desafio;Oração
Eclesiastes 3:1;Há tempo para todas as coisas.;Tempo de Deus;O relógio de Deus nunca atrasa. Aquilo que parece demora pode ser preparação para algo maior.;Tenho esperado o tempo de Deus?;Confie sem murmurar hoje.;Ensina-me a esperar.
Provérbios 16:3;Consagre ao Senhor tudo o que você faz.;Consagração;Quando Deus participa dos nossos planos, eles deixam de ser apenas sonhos humanos e passam a servir ao propósito eterno.;Meus planos glorificam a Deus?;Ore antes de iniciar seu trabalho hoje.;Recebe meus planos, Senhor.
Salmos 119:105;A tua palavra é lâmpada para os meus pés.;A Palavra;Nem sempre Deus mostra todo o caminho, mas sempre ilumina o próximo passo. A Palavra não elimina todas as dúvidas de uma vez, ela nos guia dia após dia.;Tenho alimentado minha alma com a Palavra?;Leia um capítulo da Bíblia além deste versículo.;Faz-me amar cada vez mais a Tua Palavra.
Ezequiel 36:26;Dar-vos-ei um coração novo.;Transformação;Deus não deseja apenas melhorar sua vida, Ele quer transformar seu coração. O Espírito Santo quebra durezas, cura feridas e cria uma nova história em quem se rende completamente.;O que preciso entregar para Deus transformar?;Ore pedindo um coração sensível à voz do Espírito Santo.;Cria em mim um coração totalmente rendido a Ti.
Cânticos 8:7;As muitas águas não podem apagar o amor.;Amor Verdadeiro;O amor que nasce em Deus suporta provas, distância e dificuldades. O amor verdadeiro permanece fiel.;Meu amor reflete o amor de Cristo?;Demonstre amor de forma prática.;Ensina-me a amar.
2 Coríntios 5:7;Vivemos por fé e não pelo que vemos.;Fé Viva;A fé olha além das circunstâncias. Mesmo quando os olhos não enxergam saída, Deus continua abrindo caminhos invisíveis. Quem vive por fé nunca caminha sozinho.;Tenho sido guiado pela fé ou pelo medo?;Declare as promessas de Deus em oração.;Fortalece minha fé.
Neemias 8:10;A alegria do Senhor é a nossa força.;Força para recomeçar;A tristeza tenta convencer você a desistir. Deus faz exatamente o contrário: Ele derrama alegria para levantar quem caiu. A alegria do Espírito não ignora a dor, ela vence a dor com esperança.;O que tem roubado minha alegria em Deus?;Sorria, encoraje alguém e compartilhe uma palavra de esperança.;Senhor, devolve a alegria da Tua salvação ao meu coração e fortalece minha caminhada. Amém.
Marcos 10:27;Para Deus todas as coisas são possíveis.;O Impossível;O impossível é apenas o ponto onde Deus começa a mostrar Sua glória. Continue crendo, mesmo quando tudo disser o contrário.;Qual impossível preciso colocar nas mãos de Deus?;Ore especificamente por esse impossível.;Eu confio no Teu poder, Senhor.
Deuteronômio 31:6;Sejam fortes e corajosos.;Coragem para obedecer;Deus não chamou você para viver dominado pelo medo. A coragem bíblica nasce da certeza de que Deus vai à frente. Quem confia no Senhor pode avançar mesmo com o coração tremendo.;Qual medo está impedindo minha obediência?;Dê hoje um passo de fé que você tem adiado por medo.;Pai, substitui meu medo pela confiança. Quero obedecer mesmo quando não enxergar todo o caminho. Amém.
1 Coríntios 13:4-7;O amor é paciente, o amor é bondoso.;Amor Ágape;O amor de Deus permanece quando os sentimentos oscilam. Amar como Cristo amou exige entrega, perdão e humildade. Esse amor é a maior evidência de uma vida cheia do Espírito.;Meu amor tem refletido Jesus?;Demonstre amor por alguém hoje.;Ensina-me a amar como Tu amas.
Rute 1:16;O teu Deus será o meu Deus.;A fidelidade nunca passa despercebida;Rute permaneceu quando todos esperavam que ela fosse embora. Deus honra pessoas fiéis. Aquilo que parece um sacrifício hoje pode ser a porta para o propósito amanhã.;Em qual área Deus está me chamando à fidelidade?;Renove hoje um compromisso que você fez com Deus.;Pai, dá-me um coração constante, que permaneça fiel mesmo quando ninguém estiver olhando. Amém.
Gálatas 5:22-23;O fruto do Espírito é...;Fruto do Espírito;O verdadeiro avivamento começa quando o caráter se parece com Cristo. O Espírito Santo produz em nós aquilo que jamais conseguiríamos produzir sozinhos.;Tenho permitido que Deus molde meu caráter?;Pratique deliberadamente um fruto do Espírito hoje.;Forma Cristo em mim.
Jeremias 29:11;Eu é que sei os planos que tenho para vocês.;Esperança;Mesmo quando você não entende o caminho, Deus já conhece o destino. Os planos do Senhor são maiores que qualquer frustração momentânea.;Tenho confiado no futuro que Deus preparou?;Entregue seus sonhos ao Senhor.;Que a Tua vontade prevaleça em minha vida.
Hebreus 11:1;A fé é a certeza das coisas que se esperam.;Esperança;A fé segura a mão de Deus antes mesmo de ver o milagre. Continue caminhando. O céu trabalha até quando tudo parece parado.;Minha esperança permanece firme?;Leia Hebreus 11.;Sustenta minha fé.
Oséias 6:3;Conheçamos e prossigamos em conhecer o Senhor.;Intimidade;Quem busca apenas bênçãos se cansa. Quem busca a presença de Deus encontra um relacionamento que transforma toda a vida. O maior milagre é conhecer o coração do Pai.;Tenho buscado mais a presença ou apenas as respostas?;Reserve alguns minutos para adorar sem fazer pedidos.;Senhor, quero Te conhecer cada dia mais.
Filipenses 4:6-7;Não andeis ansiosos por coisa alguma.;Paz;A oração transforma ansiedade em paz. Quando entregamos tudo ao Senhor, o coração descansa porque sabe que Deus continua no controle.;O que preciso entregar hoje?;Ore antes de se preocupar.;Que a Tua paz governe meu coração.
Salmos 121:1-2;O meu socorro vem do Senhor.;Socorro;Quando nossos recursos acabam, Deus continua sendo suficiente. O socorro do Senhor nunca chega atrasado, chega exatamente no tempo certo.;Em quem tenho colocado minha confiança?;Ore antes de tomar uma decisão importante.;Senhor, meu socorro vem somente de Ti.
Atos 1:8;Recebereis poder ao descer sobre vós o Espírito Santo.;Poder do Espírito;O Espírito Santo não veio apenas para consolar, mas para capacitar. Deus continua levantando homens e mulheres cheios da Sua presença para impactar o mundo. O fogo do Espírito ainda transforma vidas.;Tenho dado espaço para o Espírito Santo agir?;Ore pedindo sensibilidade à voz de Deus.;Enche-me com Teu Espírito.
Isaías 41:10;Não temas, porque Eu sou contigo.;Coragem;O medo grita, mas a voz de Deus continua mais poderosa. Sua presença é suficiente para enfrentar qualquer gigante.;Qual medo preciso vencer?;Enfrente hoje algo que você estava adiando.;Vai comigo, Senhor.
João 8:32;Conhecereis a verdade, e a verdade vos libertará.;Liberdade;A verdade de Cristo quebra correntes invisíveis. Onde Jesus reina, o medo, a culpa e a mentira perdem autoridade. Permita que a Palavra transforme seu interior.;Existe alguma área onde preciso da verdade de Deus?;Leia este capítulo de João.;Liberta-me completamente, Senhor.
Isaías 43:2;Quando passares pelas águas...;Presença;Deus não promete ausência de lutas, mas garante Sua presença em todas elas. Isso muda tudo.;Tenho lembrado que Deus está comigo?;Ore lembrando das vitórias passadas.;Obrigado por nunca me abandonar.
João 15:5;Sem mim nada podeis fazer.;Dependência;Quanto mais perto de Jesus, mais frutos produzimos. A força do cristão não está em sua capacidade, mas em permanecer ligado à Videira verdadeira. Quem permanece em Cristo jamais vive uma vida vazia.;Tenho buscado mais a presença do que os resultados?;Reserve tempo para estar a sós com Deus.;Ensina-me a permanecer em Ti.
Salmos 46:1;Deus é o nosso refúgio e fortaleza.;Refúgio;Os ventos podem soprar com força, mas quem faz de Deus o seu refúgio nunca enfrenta a tempestade sozinho. Há segurança na presença do Senhor que o mundo jamais poderá oferecer.;Tenho buscado refúgio em Deus ou apenas nas minhas forças?;Separe dez minutos para estar em silêncio diante de Deus.;Tu és meu abrigo, Senhor. Guarda meu coração.
Salmos 37:5;Entregue o seu caminho ao Senhor.;Entrega;Entregar não é desistir, é confiar. Deus trabalha melhor quando deixamos de carregar pesos que nunca foram nossos. A mão que sustenta o universo também é forte o suficiente para sustentar a sua história.;Existe alguma área que ainda não entreguei ao Senhor?;Escreva sua maior preocupação e ore entregando-a a Deus.;Senhor, eu entrego completamente o meu caminho em Tuas mãos.
Lamentações 3:22-23;As misericórdias do Senhor são a causa de não sermos consumidos.;Misericórdia;Se Deus renovou Suas misericórdias nesta manhã, é porque Ele ainda não terminou a obra na sua vida. O passado pode carregar marcas, mas a graça de Deus sempre escreve um novo capítulo. Não permita que a culpa fale mais alto do que a cruz de Cristo.;Tenho vivido preso ao passado ou à graça de Deus?;Comece este dia agradecendo pela misericórdia do Senhor.;Pai, obrigado porque a Tua misericórdia me alcança todos os dias.
Juízes 6:12;O Senhor está com você, poderoso guerreiro.;Deus vê além das suas limitações;Enquanto Gideão se enxergava pequeno, Deus o chamava de guerreiro. O Senhor não olha apenas para quem você é hoje, mas para aquilo que Sua graça pode fazer através de você.;Tenho acreditado mais nas minhas limitações ou na Palavra de Deus?;Encoraje uma pessoa que esteja desanimada.;Senhor, ajuda-me a enxergar minha identidade em Ti e não nas minhas inseguranças. Amém.
Habacuque 3:19;O Senhor é a minha força.;Força;A alegria do cristão não depende das circunstâncias, mas da certeza de que Deus continua reinando. Quem encontra força no Senhor nunca caminha sozinho.;Onde preciso da força de Deus hoje?;Comece o dia declarando este versículo.;Fortalece-me para permanecer fiel.
1 Samuel 16:7;O Senhor vê o coração.;O lugar onde Deus começa a obra;Os homens se impressionam com aparência, Deus transforma corações. Antes de levantar alguém publicamente, Ele trabalha profundamente no secreto.;O que Deus deseja tratar dentro de mim?;Separe dez minutos para pedir que Deus revele e transforme seu coração.;Cria em mim um coração puro, sincero e totalmente rendido à Tua vontade. Amém.
Ageu 2:9;A glória desta última casa será maior.;Esperança;O melhor de Deus ainda não ficou para trás. Enquanto houver promessa, haverá esperança. Deus ainda escreve finais surpreendentes.;Acredito que Deus ainda fará grandes coisas?;Compartilhe uma palavra de esperança com alguém.;Renova minha esperança, Senhor.
1 Tessalonicenses 5:16-18;Alegrai-vos sempre. Orai sem cessar.;Vida de Oração;Uma vida de oração mantém o coração aquecido e sensível à voz de Deus. Quem conversa diariamente com o Pai nunca enfrenta a caminhada sozinho.;Minha oração é constante?;Separe um momento extra para orar.;Ensina-me a permanecer em oração.
Malaquias 3:10;Ponham-me à prova.;Fidelidade;Deus honra corações obedientes. A fidelidade abre espaço para experimentarmos o cuidado e a provisão do Senhor.;Minha fidelidade permanece mesmo nas dificuldades?;Seja generoso hoje de alguma forma.;Ensina-me a ser fiel em tudo.
1 Pedro 5:7;Lancem sobre Ele toda a ansiedade.;Descanso;Você não foi criado para carregar sozinho o peso da vida. Coloque aos pés de Jesus aquilo que tem tirado seu sono. O cuidado do Pai é maior do que qualquer preocupação.;O que preciso entregar completamente?;Escreva uma oração entregando suas preocupações.;Cuida de mim, Senhor.
Lucas 1:37;Para Deus nada é impossível.;Promessa;Quando Deus faz uma promessa, nenhuma circunstância pode anulá-la. Espere com fé, o tempo de Deus sempre chega.;Tenho esperado as promessas com perseverança?;Leia novamente este versículo durante o dia.;Fortalece minha esperança nas Tuas promessas.
Esdras 8:22;A boa mão do nosso Deus está sobre todos os que o buscam.;A mão que nunca falha;Nem sempre veremos Deus abrindo o caminho, mas sempre veremos Sua fidelidade sustentando cada passo. Quando a mão do Senhor está sobre uma vida, portas se abrem, forças são renovadas e o impossível começa a acontecer.;Tenho reconhecido a mão de Deus nos pequenos detalhes?;Lembre-se de uma oração respondida e agradeça com alegria.;Obrigado, Pai, porque Tua mão tem me sustentado até aqui. Continua guiando meus passos. Amém.
Tiago 1:5;Se alguém necessita de sabedoria, peça a Deus.;Sabedoria;Deus nunca rejeita um coração que pede direção. A sabedoria do alto evita caminhos de dor e conduz ao propósito.;Tenho buscado conselho em Deus?;Ore antes de cada decisão importante.;Concede-me sabedoria.
Josué 1:9;Não tenha medo.;Nunca caminhe sozinho;Josué recebeu uma missão enorme, mas uma promessa ainda maior: a presença de Deus. O segredo da vitória nunca foi a capacidade de Josué, e sim a companhia do Senhor.;Tenho lembrado que Deus está comigo em cada decisão?;Antes de tomar qualquer decisão hoje, faça uma breve oração pedindo direção.;Espírito Santo, lembra-me durante todo o dia que nunca estou sozinho. Guia cada escolha que eu fizer. Amém.
2 Reis 6:16;Os que estão conosco são mais numerosos.;Quando o invisível é maior;Eliseu enxergava o que seu servo não conseguia ver. Nem toda batalha é decidida pelo que aparece diante dos olhos. O céu continua enviando socorro para aqueles que permanecem firmes. Mesmo que você se sinta cercado, Deus já cercou o seu inimigo primeiro.;Tenho olhado mais para o problema ou para o poder de Deus?;Durante o dia, sempre que sentir medo, declare: 'Deus está comigo'.;Senhor, abre meus olhos espirituais para enxergar o Teu agir acima das circunstâncias. Amém.
Provérbios 18:10;O nome do Senhor é torre forte.;Segurança;Há proteção para quem corre para Deus. O mundo muda, mas o nome do Senhor permanece inabalável.;Onde busco segurança?;Declare este versículo em voz alta.;Tu és minha torre forte.
Salmos 1:1-3;Feliz é aquele que tem prazer na lei do Senhor.;Raízes profundas;Uma árvore não resiste às tempestades porque é grande, mas porque suas raízes são profundas. Da mesma forma, uma vida firmada na Palavra permanece de pé quando chegam os ventos. Quem alimenta a alma com a verdade de Deus produz frutos no tempo certo.;Tenho alimentado minha fé diariamente pela Palavra?;Leia um capítulo completo da Bíblia hoje e anote aquilo que Deus falou ao seu coração.;Senhor, planta minha vida junto às águas da Tua Palavra para que eu permaneça firme e frutifique em todo tempo. Amém.
Provérbios 3:5-6;Confie no Senhor de todo o coração.;Confiança;Confiar em Deus é abrir mão da necessidade de controlar tudo. A fé cresce quando decidimos descansar na sabedoria dEle, mesmo sem entender todos os caminhos.;Tenho confiado mais em Deus do que na minha lógica?;Entregue a Deus um plano para esta semana.;Dirige meus caminhos, Senhor.
Zacarias 4:6;Não por força nem por poder, mas pelo Meu Espírito.;Espírito Santo;O Reino de Deus não avança pela capacidade humana, mas pela ação do Espírito Santo. Quando nossas forças acabam, o poder de Deus se manifesta.;Tenho dependido do Espírito Santo?;Ore pedindo direção antes de cada decisão hoje.;Espírito Santo, guia todos os meus passos.
Salmos 139:23-24;Sonda-me, ó Deus.;Exame do Coração;Deus não procura perfeição, mas sinceridade. Quando permitimos que Ele examine nosso coração, iniciamos um processo profundo de cura e transformação.;Estou disposto a ser transformado por Deus?;Faça uma oração de arrependimento sincera.;Sonda-me e guia-me pelo caminho eterno.
Mateus 5:16;Brilhe a luz de vocês.;Testemunho;O mundo precisa enxergar Jesus através da sua vida. Sua luz não vem de você, mas de Cristo que habita em você.;Tenho refletido Cristo nas minhas atitudes?;Faça uma boa ação sem contar para ninguém.;Que minha vida glorifique o Teu nome.
Lucas 10:27;Amarás o Senhor... e ao próximo.;Amor que Transforma;Quem ama a Deus naturalmente aprende a amar pessoas. O amor é a linguagem que revela ao mundo que pertencemos a Cristo.;Como posso demonstrar o amor de Deus hoje?;Ligue ou envie uma mensagem de encorajamento para alguém.;Faz meu coração transbordar do Teu amor.
Amós 5:24;Corra a justiça como um rio.;Justiça;Deus procura um povo que viva aquilo que prega. A verdadeira espiritualidade transforma palavras em atitudes e fé em compromisso.;Minha vida reflete aquilo que digo crer?;Pratique hoje um ato de justiça e bondade.;Que eu viva de forma íntegra diante de Ti.
João 3:16;Porque Deus amou o mundo de tal maneira...;O Maior Amor;A cruz prova que Deus nunca desistiu da humanidade. Antes que você O procurasse, Ele já havia preparado o caminho da salvação. Não existe pecado maior que a graça de Cristo nem passado que seja capaz de impedir um novo começo quando nos rendemos a Ele.;Tenho vivido como alguém alcançado pela graça?;Agradeça a Jesus pela salvação.;Obrigado, Jesus, pelo Teu amor incomparável.
Mateus 11:28;Venham a mim todos os cansados.;Descanso;Jesus nunca rejeita um coração cansado. A presença dEle é descanso para quem já não consegue caminhar sozinho.;O que preciso entregar a Jesus hoje?;Ore sem pressa, descansando na presença de Cristo.;Recebe meu coração cansado, Senhor.
Joel 2:25;Restituirei os anos consumidos.;Restauração;Deus é especialista em devolver esperança onde só restavam lembranças. Nenhum tempo vivido com Deus é perdido. O Senhor pode transformar anos de dor em testemunhos de vitória.;Em que área preciso esperar pela restauração de Deus?;Ore entregando seus sonhos interrompidos.;Restaura tudo aquilo que está quebrado em mim.
Salmos 91:1-2;Aquele que habita no esconderijo do Altíssimo.;Proteção;Existe um lugar onde o medo não governa: a presença de Deus. Quem escolhe permanecer perto do Senhor encontra paz mesmo quando o mundo vive em aflição.;Tenho permanecido na presença de Deus diariamente?;Leia o Salmo 91 em oração.;Obrigado, Senhor, porque Tu és meu esconderijo.
Êxodo 14:14;O Senhor lutará por vocês, tão somente acalmem-se.;A batalha que Deus não deixou você lutar;Nem toda guerra deve ser vencida pelas suas mãos. Israel não abriu o mar, apenas obedeceu. Enquanto o povo tremia, Deus preparava um caminho. Quando você entrega a batalha ao Senhor, o impossível deixa de depender da sua força e passa a depender do poder dEle.;Que luta tenho insistido em carregar sozinho?;Passe cinco minutos em silêncio diante de Deus, sem fazer pedidos. Apenas declare sua confiança nEle.;Senhor, entrego minhas guerras nas Tuas mãos. Livra-me da ansiedade e ensina-me a descansar enquanto Tu pelejas por mim. Amém.
Efésios 6:10-11;Fortalecei-vos no Senhor.;Armadura de Deus;A batalha espiritual é real, mas maior é Aquele que luta ao nosso lado. Vista diariamente a armadura de Deus e permaneça firme. O inimigo pode atacar, mas não pode vencer quem permanece em Cristo.;Estou espiritualmente preparado?;Ore revestindo-se da armadura de Deus.;Guarda-me e fortalece-me.
Levítico 19:18;Ame o seu próximo como a si mesmo.;O amor que revela Jesus;Amar quem nos ama é natural. Amar como Cristo amou é sobrenatural. Cada gesto de misericórdia anuncia o Evangelho sem precisar de palavras. Deus deseja usar suas atitudes para alcançar pessoas que talvez nunca entrem em uma igreja.;Quem precisa experimentar o amor de Deus através de mim hoje?;Abençoe alguém de forma prática sem contar para ninguém.;Jesus, quebra todo egoísmo em mim. Que minhas atitudes apontem para Ti e que o Teu amor transborde através da minha vida. Amém.
Romanos 8:28;Todas as coisas cooperam para o bem.;Providência;Mesmo aquilo que hoje parece dor pode estar sendo usado por Deus para cumprir um propósito maior. O Senhor é especialista em transformar lágrimas em testemunhos.;Consigo confiar mesmo sem entender?;Entregue sua história ao Senhor.;Eu confio nos Teus planos.
2 Crônicas 7:14;Se o meu povo se humilhar e orar...;O começo do avivamento;Todo avivamento verdadeiro começa com joelhos dobrados. Deus não procura pessoas famosas, mas corações quebrantados. Quando uma geração volta a orar, o céu responde com restauração.;Minha vida de oração tem sido prioridade?;Desligue o celular por alguns minutos e faça uma oração sincera.;Espírito Santo, desperta em mim fome pela Tua presença e ensina-me a viver em constante oração. Amém.
Ester 4:14;Quem sabe se não foi para um momento como este?;Você nasceu com um propósito;Você não está vivendo nesta geração por acaso. Deus conhece seu nome, sua história e o lugar onde o colocou. Talvez o desafio de hoje seja exatamente a oportunidade que Deus usará para manifestar Sua glória através da sua vida.;Tenho enxergado propósito até nas dificuldades?;Ore pedindo coragem para cumprir o propósito de Deus, mesmo que custe algo.;Pai, usa minha vida para cumprir os Teus planos e faz de mim instrumento da Tua vontade. Amém.
Naum 1:7;O Senhor é bom, um refúgio na angústia.;Bondade de Deus;Quando tudo parece inseguro, existe um lugar que permanece firme: a presença de Deus. Sua bondade nunca muda, mesmo quando as circunstâncias mudam.;Tenho descansado na bondade de Deus?;Leia este versículo antes de dormir.;Obrigado porque Tu és meu refúgio.
Jó 19:25;Eu sei que o meu Redentor vive.;Quando a esperança resiste;Jó perdeu quase tudo, mas se recusou a perder sua fé. Há momentos em que a única coisa que conseguimos segurar é a promessa de que Deus continua vivo e continua reinando. Essa esperança é suficiente para atravessar qualquer vale.;Minha esperança depende das circunstâncias ou de Deus?;Escreva uma promessa bíblica e carregue-a com você hoje.;Redentor, sustenta minha fé quando minhas forças faltarem e lembra-me de que Tu continuas no controle. Amém.
Números 6:24-26;O Senhor o abençoe e o guarde.;Debaixo das mãos do Pai;A maior segurança da vida não está em bens, mas na presença de Deus. A bênção do Senhor protege, sustenta e acompanha quem decide caminhar com Ele. Você nunca está sozinho.;Tenho valorizado mais a presença de Deus do que as bênçãos?;Ore pelo nome de três pessoas pedindo que Deus as guarde.;Senhor, cobre minha casa com Tua paz, guarda minha família e faz resplandecer o Teu rosto sobre nós. Amém.
1 Reis 8:61;Que o coração de vocês seja inteiramente dedicado ao Senhor.;Um coração sem reservas;Deus não procura perfeição, mas entrega. Um coração dividido nunca experimenta a plenitude da presença do Senhor. Quando Cristo ocupa o primeiro lugar, todo o restante encontra seu lugar. A verdadeira transformação começa quando deixamos de negociar nossa obediência.;Existe alguma área da minha vida que ainda não entreguei completamente a Deus?;Separe um momento para consagrar novamente sua vida e seus planos ao Senhor.;Pai, não quero Te oferecer apenas parte da minha vida. Recebe tudo o que sou e governa cada decisão do meu coração. Amém.
Apocalipse 21:4;Ele enxugará dos seus olhos toda lágrima.;Esperança Eterna;A história do cristão não termina na dor, mas na glória. Haverá um dia sem lágrimas, sem morte e sem sofrimento. Até lá, permaneça firme. Vale a pena seguir Jesus, porque a promessa do céu é infinitamente maior do que qualquer luta desta terra.;Tenho vivido com os olhos na eternidade?;Agradeça pela esperança que existe em Cristo.;Obrigado, Senhor, porque o melhor ainda está por vir. Amém.
2 Samuel 22:31;O caminho de Deus é perfeito.;Mesmo sem entender, continue;Nem sempre compreenderemos o processo, mas sempre poderemos confiar no caráter de Deus. Quando Ele fecha uma porta, já conhece a próxima. O caminho do Senhor pode ser diferente do seu, mas nunca será pior.;Tenho confiado mais na direção de Deus do que nos meus próprios planos?;Anote uma situação em que Deus foi fiel no passado e agradeça por ela.;Senhor, quando eu não entender o caminho, ajuda-me a confiar no Teu coração. Sei que Teus planos são perfeitos. Amém.
Miqueias 6:8;Pratique a justiça, ame a misericórdia.;Humildade;Quanto mais perto de Deus, menor nos tornamos diante da Sua grandeza. A humildade abre espaço para que o Senhor seja exaltado.;Tenho reconhecido minha dependência de Deus?;Sirva alguém hoje com simplicidade.;Ensina-me a andar humildemente Contigo.
Salmos 103:2-5;Não esqueça nenhum dos seus benefícios.;Gratidão;A memória da graça fortalece a fé. Quem se lembra do que Deus já fez encontra forças para continuar esperando pelo que Ele ainda fará.;Tenho agradecido mais ou reclamado mais?;Anote cinco bênçãos que Deus já lhe concedeu.;Meu Deus, obrigado por cada cuidado que recebo diariamente.
Salmos 51:10;Cria em mim um coração puro.;Santidade;Antes de mudar as circunstâncias, Deus deseja transformar o coração. Um coração quebrantado é terreno fértil para os milagres do Espírito Santo.;O que Deus deseja transformar dentro de mim?;Peça ao Espírito Santo que revele áreas que precisam de mudança.;Purifica meu coração, Senhor, e renova meu espírito.
Mateus 6:33;Busquem primeiro o Reino de Deus.;Prioridade;Quando Deus ocupa o primeiro lugar, tudo o mais encontra seu devido lugar. Não existe investimento melhor do que viver para o Reino.;Quem ocupa o primeiro lugar no meu coração?;Separe um tempo exclusivo para Deus hoje.;Que Tu sejas sempre minha prioridade.
Daniel 6:27;Ele livra, salva e faz maravilhas.;Livramento;Mesmo quando você entra na cova, Deus continua sendo Deus. O milagre não começa quando os leões vão embora, começa quando Deus entra na cova com você.;Tenho confiado em Deus mesmo nas provas?;Lembre-se de um livramento que Deus já lhe deu e agradeça.;Obrigado, Senhor, porque Tu nunca me abandonas.
